Start,End,Event
2026-05-05T04:15:00Z,2026-05-05T04:30:00Z,HDR Oak MS
2026-05-05T04:30:00Z,2026-05-05T05:00:00Z,BAE Prog Coordination — course equivalence
2026-05-05T05:00:00Z,2026-05-05T05:15:00Z,HDR Oak MS
2026-05-05T05:15:00Z,2026-05-05T07:00:00Z,Hons Adrienne MS
2026-05-05T21:00:00Z,2026-05-05T21:15:00Z,1.5 hr at UniSC
2026-05-06T00:00:00Z,2026-05-06T00:15:00Z,BAE Prog Coordination
2026-05-06T00:15:00Z,2026-05-06T00:30:00Z,HDR Josh H
2026-05-06T01:00:00Z,2026-05-06T01:30:00Z,BAE Prog Coordination
2026-05-06T01:30:00Z,2026-05-06T02:15:00Z,Hons Adrinene MS
2026-05-06T03:00:00Z,2026-05-06T06:30:00Z,Hons Adrienne MS
2026-05-06T06:30:00Z,2026-05-06T07:00:00Z,Email catchup
2026-05-06T22:45:00Z,2026-05-06T23:00:00Z,Email catchup
2026-05-07T00:15:00Z,2026-05-07T00:30:00Z,Hons Adrienne MS
2026-05-07T01:30:00Z,2026-05-07T01:45:00Z,Hons Adrienne MS
2026-05-07T01:45:00Z,2026-05-07T02:00:00Z,HDR Josh
2026-05-07T03:00:00Z,2026-05-07T07:00:00Z,HDR Josh
2026-05-08T00:00:00Z,2026-05-08T00:15:00Z,Email cathcup
2026-05-08T00:15:00Z,2026-05-08T01:30:00Z,Hons Adrienne MS
2026-05-08T03:15:00Z,2026-05-08T05:15:00Z,Hons Adrienne MS
2026-05-08T05:15:00Z,2026-05-08T05:45:00Z,Email catchup
2026-05-08T05:45:00Z,2026-05-08T06:00:00Z,Hons Adrienne MS
2026-05-08T06:30:00Z,2026-05-08T07:15:00Z,Hons Adrinene MS
2026-05-14T06:00:00Z,2026-05-14T08:00:00Z,Drinks at St Lucy's
2026-05-22T01:00:00Z,2026-05-22T01:45:00Z,Discovery Session Discussion
2026-05-22T04:00:00Z,2026-05-22T04:45:00Z,SSTE L&T Special Project Team – Program Based Assessment
2026-05-24T23:00:00Z,2026-05-25T00:00:00Z,Email catchup
2026-05-25T00:00:00Z,2026-05-25T00:30:00Z,Hume PhD comittee
